주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:02,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2015-01,총계,계,"34,247",,,,
2015-01,총계,40㎡이하,"2,906",,,,
2015-01,총계,40~60㎡이하,"6,231",,,,
2015-01,총계,60~85㎡이하,"17,961",,,,
2015-01,총계,85~135㎡이하,"4,438",,,,
2015-01,총계,135㎡초과,"2,711",,,,
2015-01,수도권소계,계,"12,400",,,,
2015-01,수도권소계,40㎡이하,"1,631",,,,
2015-01,수도권소계,40~60㎡이하,"3,050",,,,
2015-01,수도권소계,60~85㎡이하,"5,419",,,,
2015-01,수도권소계,85~135㎡이하,"1,557",,,,
2015-01,수도권소계,135㎡초과,743,,,,
2015-01,서울,계,"4,986",,,,
2015-01,서울,40㎡이하,"1,019",,,,
2015-01,서울,40~60㎡이하,"1,953",,,,
2015-01,서울,60~85㎡이하,"1,053",,,,
2015-01,서울,85~135㎡이하,806,,,,
2015-01,서울,135㎡초과,155,,,,
2015-01,인천,계,877,,,,
2015-01,인천,40㎡이하,71,,,,
2015-01,인천,40~60㎡이하,243,,,,
2015-01,인천,60~85㎡이하,469,,,,
2015-01,인천,85~135㎡이하,48,,,,
2015-01,인천,135㎡초과,46,,,,
2015-01,경기,계,"6,537",,,,
2015-01,경기,40㎡이하,541,,,,
2015-01,경기,40~60㎡이하,854,,,,
2015-01,경기,60~85㎡이하,"3,897",,,,
2015-01,경기,85~135㎡이하,703,,,,
2015-01,경기,135㎡초과,542,,,,
2015-01,지방소계,계,"21,847",,,,
2015-01,지방소계,40㎡이하,"1,275",,,,
2015-01,지방소계,40~60㎡이하,"3,181",,,,
2015-01,지방소계,60~85㎡이하,"12,542",,,,
2015-01,지방소계,85~135㎡이하,"2,881",,,,
2015-01,지방소계,135㎡초과,"1,968",,,,
2015-01,기타광역시,계,"7,262",,,,
2015-01,기타광역시,40㎡이하,888,,,,
2015-01,기타광역시,40~60㎡이하,"1,033",,,,
2015-01,기타광역시,60~85㎡이하,"3,849",,,,
2015-01,기타광역시,85~135㎡이하,856,,,,
2015-01,기타광역시,135㎡초과,636,,,,
2015-01,부산,계,"2,324",,,,
2015-01,부산,40㎡이하,377,,,,
2015-01,부산,40~60㎡이하,214,,,,
2015-01,부산,60~85㎡이하,"1,178",,,,
2015-01,부산,85~135㎡이하,425,,,,
2015-01,부산,135㎡초과,130,,,,
2015-01,대구,계,"2,363",,,,
2015-01,대구,40㎡이하,17,,,,
2015-01,대구,40~60㎡이하,556,,,,
2015-01,대구,60~85㎡이하,"1,399",,,,
2015-01,대구,85~135㎡이하,233,,,,
2015-01,대구,135㎡초과,158,,,,
2015-01,광주,계,"1,687",,,,
2015-01,광주,40㎡이하,148,,,,
2015-01,광주,40~60㎡이하,189,,,,
2015-01,광주,60~85㎡이하,"1,101",,,,
2015-01,광주,85~135㎡이하,129,,,,
2015-01,광주,135㎡초과,120,,,,
2015-01,대전,계,609,,,,
2015-01,대전,40㎡이하,345,,,,
2015-01,대전,40~60㎡이하,51,,,,
2015-01,대전,60~85㎡이하,119,,,,
2015-01,대전,85~135㎡이하,16,,,,
2015-01,대전,135㎡초과,78,,,,
2015-01,울산,계,279,,,,
2015-01,울산,40㎡이하,1,,,,
2015-01,울산,40~60㎡이하,23,,,,
2015-01,울산,60~85㎡이하,52,,,,
2015-01,울산,85~135㎡이하,53,,,,
2015-01,울산,135㎡초과,150,,,,
2015-01,기타지방,계,"14,585",,,,
2015-01,기타지방,40㎡이하,387,,,,
2015-01,기타지방,40~60㎡이하,"2,148",,,,
2015-01,기타지방,60~85㎡이하,"8,693",,,,
2015-01,기타지방,85~135㎡이하,"2,025",,,,
2015-01,기타지방,135㎡초과,"1,332",,,,
2015-01,강원,계,339,,,,
2015-01,강원,40㎡이하,14,,,,
2015-01,강원,40~60㎡이하,31,,,,
2015-01,강원,60~85㎡이하,60,,,,
2015-01,강원,85~135㎡이하,143,,,,
2015-01,강원,135㎡초과,91,,,,
2015-01,충북,계,531,,,,
