"주택유형별","지역별","항목","단위","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월",
"종합","전국","매매가격 대비 전세가격","","63.1938063","63.28063573","63.38516143","63.49696513","63.57264958","63.65249804","65.62733134","65.65849308","65.72602269","65.79099353","65.89234581","65.98810069","66.0561946","66.15945631","66.23656388","66.33235453","66.39651118","66.50224771","66.55139901","66.58647025","66.75588578","66.78762485","66.79514225","66.82033777","66.83284901","66.86803438","66.90155551","66.90399063","66.89050158","66.82131323","66.75294425","66.64756731","66.62212713","66.58585706","66.5461412","68.73491318","68.61885606","68.43934945","68.27382218","68.11483115","67.95774492","67.82629212","67.70527492","67.57606069","67.34925735","67.20479222","67.0806176","66.97670775","66.03557461","65.98697622","65.94278373","65.90315831","65.87582472","65.83884376","65.79950487","65.77759839","65.77093651","65.76667157","65.75659202","65.6789525","65.58036863","65.52108463","65.31029124","65.22325339","65.20667338","65.12676057","64.96307966","64.95837391","65.03458211","65.16333207","65.25685938","65.30817753","65.25861813","65.10982484","64.9467444","64.73377816","64.52579856","64.22897653","64.51263007","64.32271706","64.12840679","63.95573582","63.85168835","63.83907348","63.83655251","63.83072808","63.82200557","63.79513522","63.80129453","63.81058135","63.81347228","63.82367271","63.82639209","63.75515623","63.6545793","63.39415384","63.93475753","63.54481466","63.33783027","63.23215376","63.16142668","63.08497016","63.03576309","63.03642058","63.06489705","63.15689302","63.28998676","63.42113835","63.55569867","63.65593576","63.75951122","63.84881542","63.94205569","64.00276758","64.0273543","64.02856216","64.04517349","64.1066886","64.16812407","64.23080346","64.29014136","64.32959808","64.36207635","64.58372903","64.6110504","64.5788023032","64.55464419","64.55631058","64.5741525",
"종합","수도권","매매가격 대비 전세가격","","63.41751316","63.58833788","63.77410462","63.98431144","64.14035289","64.30223863","66.9197841","66.99913292","67.14710426","67.27488354","67.48586664","67.64617926","67.75122166","67.91141496","68.04054211","68.17627243","68.25603408","68.4007694","68.45340627","68.50349204","68.69297289","68.72681991","68.71595767","68.73375667","68.74992979","68.7867375","68.82814634","68.83471156","68.8454024","68.75368051","68.66948506","68.53161342","68.52064054","68.47280139","68.40448693","71.70192049","71.45256588","71.09451435","70.79278692","70.52385618","70.25839317","70.03701082","69.8402295","69.60790745","69.20519959","68.97371199","68.78126402","68.61183594","66.68801605","66.58812133","66.50392128","66.4367311","66.41487243","66.37816054","66.3263892","66.30314357","66.29331354","66.29170958","66.27716528","66.15193227","65.82863475","65.73219601","65.32601861","65.13120284","65.06825228","64.98582225","64.75047002","64.7618236","64.90057279","65.09823157","65.24656263","65.38943966","65.30043846","65.01235048","64.74190009","64.40076085","64.09518688","63.65828356","64.24980998","63.95645717","63.68974007","63.45301687","63.3187066","63.2792002","63.26889803","63.25612184","63.23736291","63.20865883","63.23672965","63.24783283","63.2607759","63.26507764","63.24562529","63.10028731","62.86224612","62.3962478","62.14049567","61.51901906","61.21994528","61.07088295","61.00690781","60.92113472","60.87236456","60.90899396","60.99725983","61.19177102","61.42471233","61.63581491","61.88290895","62.04916369","62.22580856","62.370719","62.53739121","62.62632406","62.64450547","62.62064129","62.64018789","62.72079552","62.78074253","62.80971852","62.84934737","62.87889938","62.87972909","63.09569104","63.09500721","62.9895684908","62.90010742","62.86405755","62.85038306",
"종합","지방","매매가격 대비 전세가격","","62.98560583","62.99426215","63.0231781","63.04339955","63.04429701","63.04779465","64.45874473","64.44633754","64.44113479","64.44931663","64.4515449","64.48892912","64.52361561","64.57540194","64.60547539","64.66515411","64.71520132","64.78567661","64.8316764","64.85317208","65.00602886","65.03586372","65.05998427","65.09186141","65.10106471","65.13478454","65.16118036","65.15988456","65.12455275","65.07571994","65.02164771","64.94562469","64.90711556","64.88129634","64.86741487","66.04530172","66.05007964","66.03242516","65.99036423","65.93103427","65.8721923","65.82226121","65.76992469","65.73417837","65.66683361","65.60125492","65.53897054","65.4944534","65.44273342","65.44074546","65.43290585","65.41832717","65.38601879","65.34879333","65.32075121","65.30006155","65.2962784","65.28959557","65.28357291","65.24917924","65.35325008","65.32795594","65.29590355","65.30746299","65.33330362","65.25569362","65.15757899","65.13818186","65.15717638","65.22288724","65.26627904","65.23383738","65.2203601","65.19899623","65.13413986","65.03842871","64.91973029","64.75105727","64.74685025","64.64921818","64.51945474","64.40388292","64.32681312","64.33817061","64.34258617","64.34295887","64.34318327","64.31794759","64.30457397","64.31224159","64.30617159","64.32163039","64.34411468","64.3389369","64.36090201","64.28373378","65.59844762","65.42318936","65.30159286","65.2361449","65.15915722","65.09133929","65.04172711","65.00903042","64.98206848","64.97900946","65.01952172","65.0765405","65.12831703","65.1664898","65.20137145","65.23839926","65.26260491","65.29678578","65.32739426","65.35217278","65.3660246","65.40959052","65.47242529","65.56678983","65.64465655","65.69342486","65.75565648","65.98546543","66.0391678","66.0758654849","66.11322296","66.15041819","66.19794866",
"종합","6대광역시","매매가격 대비 전세가격","","67.34239994","67.3637926","67.42422653","67.46702712","67.49412612","67.51787442","68.05090662","68.05029768","68.05328479","68.06930197","68.08965337","68.15332093","68.2213366","68.32481059","68.39489797","68.47568486","68.53795055","68.61653483","68.6338215","68.63757152","68.70330138","68.6863653","68.66683479","68.65309755","68.66016423","68.70951802","68.73244789","68.75226115","68.73680087","68.70496853","68.64679242","68.5403037","68.47962949","68.4300741","68.40706823","69.43522677","69.38289229","69.32161917","69.24160926","69.1615991","69.02988823","68.98154002","68.91035815","68.84747332","68.74983817","68.6110794","68.47494521","68.32437617","67.95286113","67.94346596","67.92712031","67.90658075","67.88541088","67.83767725","67.78800366","67.7508278","67.6983094","67.65608139","67.60501834","67.49268928","67.38843965","67.35737807","67.16407009","67.1160413","67.07801363","66.97530774","66.86815657","66.85652297","66.87570806","66.98198438","67.04364135","67.07493312","67.03723647","66.94422867","66.80822927","66.63029214","66.4508848","66.19195354","66.27569886","66.11117786","65.93723616","65.74504809","65.64149348","65.63717501","65.63951212","65.62253499","65.59594992","65.55267718","65.52690466","65.46454389","65.42342254","65.40693154","65.41099576","65.35009062","65.29611781","65.05896421","65.45720098","65.08781716","64.84780669","64.71556965","64.61228769","64.50460986","64.355621","64.32440414","64.33224944","64.36720292","64.44787291","64.54718861","64.64283709","64.74517808","64.87920527","65.00563818","65.1213384","65.22575813","65.30488293","65.40074314","65.49927234","65.64861479","65.77676992","65.89829531","66.00674427","66.09271784","66.19850346","66.40996954","66.5115231","66.5879808928","66.65884583","66.71871709","66.80888946",
"종합","5대광역시","매매가격 대비 전세가격","","68.60266921","68.59045709","68.61250374","68.61161395","68.58999542","68.56695635","68.35409145","68.31805684","68.28280181","68.27219494","68.26824211","68.33146298","68.40180952","68.4951614","68.54387985","68.60439585","68.6515462","68.70949825","68.70428971","68.68458291","68.76917324","68.73662539","68.70240012","68.68208102","68.68178661","68.69692288","68.71693174","68.72805179","68.70279316","68.64915378","68.57211636","68.45321166","68.38606042","68.33180248","68.31581054","68.43158463","68.37560025","68.31750353","68.24272923","68.16863525","68.03476591","67.98587251","67.91058181","67.84966433","67.72920874","67.57824864","67.45706489","67.34376004","66.91894216","66.9364455","66.93593291","66.93477512","66.9209901","66.88686199","66.83201995","66.77775723","66.72470443","66.6699792","66.59861363","66.47697031","66.4657721","66.44010613","66.39784986","66.40297208","66.41822277","66.3527098","66.26464995","66.25080019","66.22234483","66.25652869","66.16468319","66.05434072","65.98490652","65.91597366","65.81576411","65.71794649","65.60897243","65.41348489","65.50414045","65.39082363","65.26944328","65.15903082","65.08893836","65.11181014","65.12871861","65.14341989","65.14642255","65.10559748","65.07145233","65.02887334","64.98937085","64.9889976","65.00362541","64.93501384","64.86238247","64.62480292","65.23239851","64.91212072","64.68934405","64.58347642","64.49324196","64.42339077","64.27793518","64.24028818","64.20235761","64.20878901","64.26664885","64.34844823","64.4433947","64.51522528","64.597234","64.68704001","64.75675951","64.83912903","64.91643462","64.98117528","65.01793715","65.11005251","65.21153722","65.32910686","65.45415569","65.5506605","65.6562082","65.88530239","66.01772537","66.1147492124","66.21025009","66.29670868","66.39489808",
"종합","9개도","매매가격 대비 전세가격","","61.6655693","61.75647601","61.86589611","61.99143186","62.07773495","62.16847587","64.8531701","64.88713498","64.95602052","65.02469259","65.09047728","65.17007775","65.21702685","65.28129045","65.35342471","65.45675616","65.53248084","65.63059937","65.70715999","65.77931706","66.03596332","66.10576978","66.15198871","66.20269924","66.21606291","66.25321374","66.29066203","66.30836681","66.32003977","66.29350152","66.2381052","66.15241699","66.11873071","66.08929528","66.0528245","68.50712913","68.43951419","68.2977808","68.16749623","68.0270051","67.90369151","67.77402934","67.65256013","67.53708901","67.35462367","67.2197679","67.08016984","66.98464277","66.59051195","66.54535524","66.50347109","66.45277879","66.41230623","66.37017135","66.33220708","66.32185317","66.34736075","66.39716747","66.44066139","66.43684184","66.40990615","66.31468581","66.03979982","65.89317827","65.86013417","65.76502074","65.6045722","65.61316217","65.71080853","65.83655403","65.89543014","65.87620695","65.75496814","65.52869135","65.30577799","65.03223192","64.78099166","64.40223466","65.0732158","64.83099432","64.59116934","64.4106635","64.29836357","64.27719078","64.27069331","64.27095124","64.27968481","64.26407813","64.28629562","64.33138691","64.35408236","64.36407011","64.36450887","64.29558009","64.22388884","64.05045652","64.91778035","64.59912867","64.44708312","64.36691586","64.31314396","64.25186284","64.24740267","64.25865788","64.30716008","64.42604394","64.57302528","64.71079754","64.8316419","64.93132194","65.02318462","65.1096615","65.20162396","65.26348568","65.2973784","65.30051968","65.30386008","65.34905635","65.40374714","65.46528314","65.52403152","65.56784312","65.61515349","65.81222039","65.84945721","65.8419160995","65.83020685","65.84083103","65.86918025",
"종합","8개도","매매가격 대비 전세가격","","59.44672779","59.46967475","59.50349448","59.53789047","59.55377766","59.57404965","61.99899597","62.00246666","62.01668891","62.03701508","62.04294578","62.06294811","62.07304042","62.09529635","62.11213464","62.16984265","62.21992071","62.29582357","62.37341321","62.41789127","62.64192323","62.71321959","62.77501084","62.84333219","62.86016848","62.90780835","62.94581435","62.96352442","62.96297378","62.94048594","62.90794355","62.86123049","62.8390887","62.82966501","62.81281292","64.68947646","64.72730354","64.74228912","64.72330941","64.6763478","64.67617775","64.63431178","64.60809722","64.59489979","64.56447467","64.54644709","64.49724151","64.47770014","64.74840408","64.72858791","64.71775226","64.70275806","64.66211166","64.62834816","64.61997719","64.62413414","64.65297183","64.6769708","64.70938364","64.72982685","64.96137274","64.94695503","64.93547811","64.95448658","64.98561291","64.9115897","64.82506305","64.82126765","64.85676151","64.90712457","65.00208963","64.9623819","64.9303585","64.91223237","64.86869245","64.77543171","64.65208909","64.50016771","64.66544855","64.57440923","64.43528981","64.31019843","64.2209483","64.2230126","64.22519127","64.22167527","64.22791228","64.21615296","64.22083557","64.2598346","64.27659921","64.30314011","64.33260899","64.36732199","64.44827025","64.46456471","66.27853979","66.18891172","66.13014614","66.09227124","66.02999417","65.96646095","65.98272567","65.94989032","65.92296366","65.90528133","65.92744486","65.96535697","66.02374307","66.04336811","66.04823223","66.0531674","66.04583235","66.0547805","66.0511178","66.05269291","66.04943984","66.06196218","66.09645886","66.17228072","66.21971225","66.23754192","66.2714995","66.51513445","66.53227595","66.5323869391","66.53252664","66.53766424","66.5468433",
"종합","서울","매매가격 대비 전세가격","","61.89956144","62.07416667","62.23169741","62.40699805","62.52466927","62.65545314","64.6231316","64.69493891","64.85670866","64.98524992","65.31980328","65.51512622","65.64769737","65.86818507","65.97108518","66.06508785","66.09380771","66.25962562","66.26854795","66.23007774","66.3401761","66.32782607","66.25374628","66.26178519","66.28230402","66.29231369","66.34298662","66.31977868","66.30515709","66.08679132","65.9729964","65.8084141","65.85780422","65.81565582","65.73183423","68.86154251","68.4826674","68.01284197","67.60760862","67.27349748","66.98616048","66.7365736","66.55881363","66.29430499","65.73311888","65.53193353","65.42606038","65.32856058","61.85671361","61.7266022","61.63449084","61.6151095","61.62722319","61.63294572","61.60831514","61.57793218","61.53931323","61.41950224","61.29335474","61.02781755","60.69641404","60.72921803","60.71939609","60.7690961","60.83477812","60.86046308","60.62966616","60.62786409","60.69799226","60.80822573","61.00000423","61.21038282","61.27512743","61.23811438","61.22203545","61.15044636","61.03935081","60.94571201","60.63255579","60.5730351","60.49144544","60.36034535","60.26699237","60.26525634","60.27885188","60.27831624","60.25200178","60.21967932","60.23149663","60.23034513","60.23858053","60.29300037","60.30495558","60.21048015","59.93902832","59.33286939","59.14728009","58.47149655","58.12786627","57.98026692","57.91467062","57.8403116","57.79909345","57.80842493","57.7918172","57.86958942","58.0265227","58.18078428","58.46019536","58.5670319","58.66613599","58.71345331","58.77519401","58.77681307","58.67922409","58.53350813","58.46541528","58.44824809","58.42388855","58.39278101","58.37783602","58.3307438","58.20028881","58.41938947","58.32187424","58.0381257521","57.82157673","57.69979046","57.55742881",
"종합","강북권역","매매가격 대비 전세가격","","62.80097235","62.92465344","63.05479653","63.22111798","63.34452429","63.44329752","65.25538944","65.34771148","65.52295696","65.71453635","65.9398436","66.17398383","66.28079915","66.37685926","66.44645456","66.50271429","66.56388549","66.66297798","66.73135357","66.72549303","66.88925159","66.93790434","66.88642478","66.88214278","66.8946456","66.90872575","66.97227949","66.94321949","66.9627761","66.76151576","66.54995118","66.39129411","66.40790883","66.38503944","66.30565462","69.84591142","69.63742334","69.31674785","69.01623853","68.81278336","68.60741354","68.34806224","68.12623629","67.77999662","67.19665381","66.94995529","66.77311035","66.65047304","62.41850193","62.32499873","62.22809815","62.19429827","62.20701067","62.20622336","62.18775655","62.13780221","62.0958596","61.96026072","61.82953338","61.6596177","61.30455213","61.25501381","61.20065531","61.22179684","61.2559521","61.28705729","61.03324936","60.97202326","61.00204141","61.0909691","61.19063485","61.34232108","61.41017588","61.33260541","61.28840093","61.24188899","61.16753181","61.05081062","60.55336808","60.45673709","60.40732076","60.29279735","60.22944155","60.23491253","60.27604781","60.2806011","60.25868653","60.24092489","60.21635151","60.19399044","60.23370565","60.32995011","60.39175526","60.34655804","60.19181877","59.80187725","59.78139","59.26817725","59.00864308","58.82266908","58.74683555","58.69806779","58.66280434","58.68533183","58.60326151","58.71066048","58.87343738","59.01049326","59.32515633","59.46791629","59.59665542","59.68069982","59.77489322","59.81523569","59.76796039","59.66008578","59.60301655","59.59007731","59.57649765","59.54530849","59.53178632","59.516265","59.45065085","59.63415758","59.57412561","59.3553554089","59.1610613","59.05047303","58.89346706",
"종합","도심권","매매가격 대비 전세가격","","50.42001231","50.51156938","50.62989293","50.72782031","50.76701095","50.83191766","53.99788025","54.02612793","54.0997833","54.19210076","54.26675668","54.31133197","54.33782418","54.38544816","54.43296693","54.47551648","54.51725181","54.53118268","54.79958736","54.76973298","54.72691245","54.73573788","54.74346322","54.76428969","54.78664548","54.81598035","54.83552652","54.83219938","54.81333222","54.65669577","54.53445661","54.38117366","54.37610895","54.35634171","54.30252814","60.90063766","60.61761038","60.06008191","59.68163207","59.45379849","59.24277095","59.06412724","58.85002888","58.40252223","57.98866236","57.78774764","57.58994232","57.37946702","54.72129604","54.66695312","54.59684734","54.56993141","54.54428176","54.51070645","54.4912128","54.42586981","54.33636946","54.20694064","54.09675964","53.96122044","54.144483","54.14265422","54.13167071","54.16217082","54.20887888","54.21597942","54.08132766","54.04443576","54.02888738","54.06771515","54.12436012","54.24346235","54.28944412","54.24982137","54.22113624","54.18279629","54.1286006","54.01998304","59.22729941","59.15017368","59.10063877","58.98644484","58.87755898","58.81977267","58.824332","58.824902","58.6753852","58.58989098","58.51984848","58.42596985","58.40410726","58.38960361","58.3984686","58.26553967","58.01610575","57.58425739","57.98193475","57.56559321","57.27413974","57.06245271","56.89639154","56.81027053","56.80148062","56.78496263","55.943857","56.02839328","56.1042592","56.18528601","56.38807037","56.43967392","56.51354099","56.54959338","56.55423583","56.51731918","56.43893145","56.31345822","56.27449481","56.24788957","56.22045281","56.15131591","56.12573418","56.08551051","55.9681194","56.10820243","55.98726746","55.6369831937","55.37831687","55.10267543","54.81769562",
