미분양주택현황보고(Unsold New Housings) / 시·군·구별 미분양현황 (200012 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:11,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구분,시군구,미분양현황,,,,
2015-01,서울,계,"1,497",,,,
2015-01,서울,종로구,211,,,,
2015-01,서울,중구,2,,,,
2015-01,서울,용산구,198,,,,
2015-01,서울,성동구,4,,,,
2015-01,서울,광진구,1,,,,
2015-01,서울,동대문구,0,,,,
2015-01,서울,중랑구,3,,,,
2015-01,서울,성북구,169,,,,
2015-01,서울,강북구,3,,,,
2015-01,서울,도봉구,0,,,,
2015-01,서울,노원구,5,,,,
2015-01,서울,은평구,2,,,,
2015-01,서울,서대문구,156,,,,
2015-01,서울,마포구,10,,,,
2015-01,서울,양천구,30,,,,
2015-01,서울,강서구,13,,,,
2015-01,서울,구로구,0,,,,
2015-01,서울,금천구,0,,,,
2015-01,서울,영등포구,8,,,,
2015-01,서울,동작구,0,,,,
2015-01,서울,관악구,0,,,,
2015-01,서울,서초구,17,,,,
2015-01,서울,강남구,12,,,,
2015-01,서울,송파구,0,,,,
2015-01,서울,강동구,653,,,,
2015-01,부산,계,"1,710",,,,
2015-01,부산,중구,7,,,,
2015-01,부산,서구,71,,,,
2015-01,부산,동구,0,,,,
2015-01,부산,영도구,19,,,,
2015-01,부산,부산진구,39,,,,
2015-01,부산,동래구,4,,,,
2015-01,부산,남구,74,,,,
2015-01,부산,북구,30,,,,
2015-01,부산,해운대구,322,,,,
2015-01,부산,사하구,134,,,,
2015-01,부산,금정구,71,,,,
2015-01,부산,강서구,471,,,,
2015-01,부산,연제구,31,,,,
2015-01,부산,수영구,0,,,,
2015-01,부산,사상구,338,,,,
2015-01,부산,기장군,99,,,,
2015-01,대구,계,857,,,,
2015-01,대구,중구,6,,,,
2015-01,대구,동구,0,,,,
2015-01,대구,서구,69,,,,
2015-01,대구,남구,0,,,,
2015-01,대구,북구,0,,,,
2015-01,대구,수성구,59,,,,
2015-01,대구,달서구,1,,,,
2015-01,대구,달성군,722,,,,
2015-01,인천,계,"3,257",,,,
2015-01,인천,중구,828,,,,
2015-01,인천,동구,0,,,,
2015-01,인천,남구,828,,,,
2015-01,인천,연수구,773,,,,
2015-01,인천,남동구,148,,,,
2015-01,인천,부평구,4,,,,
2015-01,인천,계양구,238,,,,
2015-01,인천,서구,421,,,,
2015-01,인천,강화군,17,,,,
2015-01,인천,옹진군,0,,,,
2015-01,광주,계,252,,,,
2015-01,광주,동구,25,,,,
2015-01,광주,서구,31,,,,
2015-01,광주,남구,68,,,,
2015-01,광주,북구,104,,,,
2015-01,광주,광산구,24,,,,
2015-01,대전,계,456,,,,
2015-01,대전,동구,0,,,,
2015-01,대전,중구,192,,,,
2015-01,대전,서구,48,,,,
2015-01,대전,유성구,126,,,,
2015-01,대전,대덕구,90,,,,
2015-01,울산,계,329,,,,
2015-01,울산,중구,121,,,,
2015-01,울산,남구,105,,,,
2015-01,울산,동구,5,,,,
2015-01,울산,북구,0,,,,
2015-01,울산,울주군,98,,,,
2015-01,경기,계,"14,201",,,,
2015-01,경기,수원시,605,,,,
2015-01,경기,성남시,43,,,,
2015-01,경기,의정부시,128,,,,
2015-01,경기,안양시,121,,,,
2015-01,경기,부천시,538,,,,
2015-01,경기,광명시,0,,,,
2015-01,경기,평택시,472,,,,
2015-01,경기,동두천시,475,,,,
2015-01,경기,안산시,38,,,,
2015-01,경기,고양시,"1,528",,,,
